Type,Method,Regionname,Habitaciones,Banos,Propiedad
u,S,Southern Metropolitan,1,1,0
h,S,Southern Metropolitan,5,2,611
h,S,Southern Metropolitan,3,1,596
h,S,Northern Metropolitan,3,2,560
h,S,Northern Metropolitan,3,1,702
h,S,Northern Metropolitan,3,2,445
h,S,Northern Metropolitan,5,2,818
u,S,Southern Metropolitan,2,1,0
h,S,Northern Metropolitan,4,2,355
h,S,Northern Metropolitan,5,3,544
u,PI,Northern Metropolitan,2,1,82
h,S,Southern Metropolitan,3,1,703
h,S,Northern Metropolitan,3,1,619
h,S,Northern Metropolitan,3,2,411
u,S,Northern Metropolitan,2,1,0
u,S,Northern Metropolitan,2,1,168
h,S,Southern Metropolitan,3,2,138
h,S,Northern Metropolitan,4,2,643
h,S,Northern Metropolitan,4,2,548
h,S,Northern Metropolitan,3,1,483
u,S,Northern Metropolitan,1,1,0
h,PI,Northern Metropolitan,5,2,381
h,S,Southern Metropolitan,3,1,584
h,PI,Southern Metropolitan,3,1,228
h,PI,Eastern Metropolitan,4,2,974
h,S,Southern Metropolitan,3,2,202
u,S,Southern Metropolitan,2,2,0
u,PI,Southern Metropolitan,1,1,0
h,PI,Eastern Metropolitan,4,2,693
h,S,Southern Metropolitan,3,2,90
h,S,Northern Metropolitan,3,1,540
h,S,Southern Metropolitan,3,2,135
h,S,Northern Metropolitan,3,1,584
h,S,Northern Metropolitan,4,2,768
h,PI,Eastern Metropolitan,4,2,765
h,S,Northern Metropolitan,4,1,434
h,S,Northern Metropolitan,3,1,496
h,PI,Northern Metropolitan,3,2,398
h,S,Northern Metropolitan,4,1,687
h,S,Northern Metropolitan,3,1,185
u,S,Southern Metropolitan,2,1,0
h,S,Eastern Metropolitan,4,2,650
h,S,Southern Metropolitan,3,1,163
h,S,Eastern Metropolitan,4,1,757
u,SA,Southern Metropolitan,3,2,286
h,S,Southern Metropolitan,3,2,367
h,PI,Northern Metropolitan,3,1,592
h,S,Northern Metropolitan,3,1,581
h,S,Northern Metropolitan,4,2,1011
h,S,Southern Metropolitan,3,2,347
h,PI,Southern Metropolitan,2,2,521
h,S,Southern Metropolitan,3,2,766
h,S,Southern Metropolitan,3,1,607
h,S,Eastern Metropolitan,4,3,740
h,PI,Eastern Metropolitan,2,1,683
u,S,Northern Metropolitan,2,1,141
h,S,Eastern Metropolitan,3,1,671
u,PI,Northern Metropolitan,2,1,0
h,S,Southern Metropolitan,3,2,494
h,S,Eastern Metropolitan,3,1,757
h,S,Northern Metropolitan,3,1,627
h,S,Northern Metropolitan,3,1,308
u,S,Southern Metropolitan,2,1,107
h,S,Northern Metropolitan,3,1,528
h,S,Southern Metropolitan,4,3,1007
h,S,Southern Metropolitan,4,2,743
h,S,Northern Metropolitan,3,1,225
h,PI,Southern Metropolitan,2,1,591
u,S,Southern Metropolitan,2,2,0
h,S,Northern Metropolitan,3,1,610
h,S,Southern Metropolitan,3,2,391
h,PI,Northern Metropolitan,3,2,559
h,S,Southern Metropolitan,3,1,650
u,S,Northern Metropolitan,2,1,0
h,S,Southern Metropolitan,3,2,338
u,S,Southern Metropolitan,2,1,0
h,S,Eastern Metropolitan,5,3,717
u,PI,Southern Metropolitan,2,1,1057
h,S,Southern Metropolitan,3,2,711
h,S,Northern Metropolitan,3,1,548
h,S,Northern Metropolitan,3,1,627
h,PI,Southern Metropolitan,3,1,618
h,S,Southern Metropolitan,3,1,735
h,S,Northern Metropolitan,2,1,159
h,S,Eastern Metropolitan,2,1,693
h,S,Northern Metropolitan,3,2,500
u,PI,Southern Metropolitan,2,1,611
h,S,Southern Metropolitan,3,1,700
u,S,Southern Metropolitan,2,1,194
h,S,Northern Metropolitan,2,3,506
h,S,Northern Metropolitan,3,1,536
u,PI,Northern Metropolitan,2,2,0
u,PI,Northern Metropolitan,1,1,0
u,S,Eastern Metropolitan,4,3,152
u,PI,Northern Metropolitan,1,1,0
u,S,Southern Metropolitan,2,1,0
h,S,Southern Metropolitan,2,1,149
h,S,Northern Metropolitan,3,2,134
h,PI,Northern Metropolitan,3,1,574
h,S,Southern Metropolitan,4,2,537
h,S,Southern Metropolitan,3,1,528
h,S,Northern Metropolitan,3,1,264
u,PI,Southern Metropolitan,2,2,1111
h,S,Northern Metropolitan,3,1,400
h,S,Southern Metropolitan,3,1,246
h,S,Eastern Metropolitan,4,2,800
h,S,Northern Metropolitan,3,1,528
h,S,Southern Metropolitan,4,1,701
h,S,Northern Metropolitan,2,1,170
h,S,Northern Metropolitan,4,1,596
h,S,Eastern Metropolitan,3,2,875
h,S,Southern Metropolitan,2,1,254
h,PI,Northern Metropolitan,3,2,267
h,PI,Southern Metropolitan,5,2,567
h,S,Southern Metropolitan,4,2,1690
h,S,Northern Metropolitan,3,1,501
u,S,Southern Metropolitan,3,1,0
h,S,Eastern Metropolitan,4,1,866
u,S,Northern Metropolitan,2,1,0
h,S,Northern Metropolitan,2,1,234
h,S,Northern Metropolitan,4,2,233
h,S,Eastern Metropolitan,3,2,626
h,S,Northern Metropolitan,4,1,752
h,S,Southern Metropolitan,4,2,595
h,S,Southern Metropolitan,3,3,376
