tipo,precio,habitacione,bano,estaciona,lote
h,1480000,2,1,1,202
h,1035000,2,1,0,156
h,1465000,3,2,0,134
h,850000,3,2,1,94
h,1600000,3,1,2,120
h,941000,2,1,0,181
h,1876000,4,2,0,245
h,1636000,2,1,2,256
u,300000,1,1,1,0
h,1097000,3,1,2,220
u,700000,2,2,1,0
h,1350000,3,2,2,214
u,750000,2,2,1,0
h,1172500,2,1,1,195
u,441000,1,1,1,0
h,1310000,2,1,2,238
h,1200000,3,2,1,113
h,1176500,2,1,1,138
h,955000,3,1,0,183
h,890000,2,1,1,150
h,1330000,4,2,2,780
t,900000,3,2,2,0
u,1090000,3,2,2,4290
u,500000,2,1,1,0
h,1100000,2,2,1,124
h,1315000,2,1,0,147
u,426000,1,1,1,0
h,1447500,3,3,1,166
u,457000,1,1,1,0
h,1135000,2,2,2,98
h,1542000,4,3,1,0
h,1290000,3,2,2,147
h,1290000,3,1,1,168
u,470000,1,1,1,0
h,1180000,2,1,0,162
h,1195000,3,2,1,120
h,1012500,2,1,0,182
h,1030000,2,1,1,172
t,840000,3,2,1,303
h,730000,3,2,1,0
h,770000,3,2,1,0
h,603000,2,1,1,272
t,700000,3,2,2,239
h,600000,2,1,1,290
u,500000,2,1,1,168
h,720000,2,1,1,620
h,785000,3,1,2,597
h,725000,6,3,2,976
t,450000,2,1,1,110
u,515000,2,1,1,141
u,530000,2,1,1,120
h,895000,3,1,6,1063
h,805000,3,1,1,0
u,752000,3,1,1,265
u,440000,2,1,1,192
h,755000,3,2,2,596
t,700000,3,2,2,165
h,830000,3,1,2,971
u,462500,2,1,1,164
h,670000,3,2,2,657
h,675000,2,1,1,612
h,1042000,3,2,5,612
h,910000,3,1,1,775
h,773000,5,3,4,531
h,810000,3,3,2,555
h,715000,3,2,2,422
h,790000,3,1,3,614
t,540000,2,2,1,161
t,825000,3,2,1,293
h,685000,3,1,1,579
h,805000,3,1,1,623
u,510000,2,1,1,141
h,612000,3,2,1,212
h,662000,3,1,2,612
h,978000,4,3,2,532
h,720000,3,1,1,585
h,765000,4,1,2,509
h,900000,4,2,3,628
h,1275000,2,1,0,120
h,1455000,2,1,0,159
h,2850000,3,2,0,211
h,1850000,3,2,0,128
h,1436000,2,1,0,130
h,1110000,1,1,0,147
h,1550000,2,1,1,167
h,2300000,4,2,1,153
t,1550000,3,2,2,718
h,1800000,3,2,1,132
h,2120000,2,1,1,199
h,1800000,3,1,1,253
h,1800000,3,2,1,90
h,1810000,2,1,0,240
h,2615000,3,2,1,177
h,2100000,5,2,1,237
h,1300000,3,1,0,129
h,1370000,3,2,2,0
h,1000000,2,1,0,288
h,2575000,3,2,1,228
h,1322500,2,1,0,149
h,1562500,2,1,0,141
h,2000000,3,2,1,211
h,1900000,3,1,0,209
h,3010000,3,2,0,147
h,2800000,4,3,1,327
u,647000,2,1,1,0
h,2100000,2,1,1,120
h,2000000,3,1,1,238
u,442500,1,1,0,0
h,4735000,4,2,1,330
h,1340000,2,1,0,136
h,1801000,3,1,1,202
h,1532000,3,3,1,0
h,3755000,3,2,2,325
h,2140000,3,2,1,183
h,1750000,2,1,1,162
h,980000,2,1,0,79
h,2030000,3,2,0,152
h,1740000,3,2,2,147
h,2800000,3,3,1,0
h,985000,1,1,0,81
h,2000000,3,2,4,853
h,1110000,3,2,2,208
h,1492000,3,2,2,411
h,1717500,4,2,1,599
h,2840000,5,4,4,809
u,525500,2,1,1,88
t,805000,2,2,3,155
u,465000,2,1,1,0
h,2000000,3,3,2,686
h,1540000,3,1,2,592
u,820000,2,1,1,183
h,1830000,4,2,2,606
h,2100000,4,2,2,575
h,865000,3,1,1,180
u,390000,2,1,1,0
t,650000,0,1,0,0
u,512000,2,1,1,0
h,1165000,3,1,2,979
h,1900000,4,2,2,556
h,1485000,3,0,0,597
h,1950000,4,2,3,589
h,520000,3,2,1,352
h,1525000,5,3,3,729
t,720000,2,1,2,292
h,1120000,3,1,2,506
h,780000,4,1,4,655
h,1780000,4,3,6,1057
u,630000,2,1,2,311
