habitacion,bano,estaciona,propiedad,precio
2,1,1,202,1480000
2,1,0,156,1035000
3,2,0,134,1465000
3,2,1,94,850000
3,1,2,120,1600000
2,1,0,181,941000
4,2,0,245,1876000
2,1,2,256,1636000
1,1,1,0,300000
3,1,2,220,1097000
2,2,1,0,700000
3,2,2,214,1350000
2,2,1,0,750000
2,1,1,195,1172500
1,1,1,0,441000
2,1,2,238,1310000
3,2,1,113,1200000
2,1,1,138,1176500
3,1,0,183,955000
2,1,1,150,890000
3,2,2,0,900000
2,1,1,0,500000
2,2,1,124,1100000
2,1,0,147,1315000
1,1,1,0,426000
3,3,1,166,1447500
1,1,1,0,457000
2,2,2,98,1135000
4,3,1,0,1542000
3,2,2,147,1290000
3,1,1,168,1290000
1,1,1,0,470000
2,1,0,162,1180000
3,2,1,120,1195000
2,1,0,182,1012500
2,1,1,172,1030000
3,2,1,303,840000
3,2,1,0,730000
3,2,1,0,770000
2,1,1,272,603000
3,2,2,239,700000
2,1,1,290,600000
2,1,1,168,500000
2,1,1,620,720000
3,1,2,597,785000
6,3,2,976,725000
2,1,1,110,450000
2,1,1,141,515000
2,1,1,120,530000
3,1,6,1063,895000
3,1,1,0,805000
3,1,1,265,752000
2,1,1,192,440000
3,2,2,596,755000
3,2,2,165,700000
3,1,2,971,830000
2,1,1,164,462500
3,2,2,657,670000
2,1,1,612,675000
3,2,5,612,1042000
3,1,1,775,910000
5,3,4,531,773000
3,3,2,555,810000
3,2,2,422,715000
3,1,3,614,790000
2,2,1,161,540000
3,2,1,293,825000
3,1,1,579,685000
3,1,1,623,805000
2,1,1,141,510000
3,2,1,212,612000
3,1,2,612,662000
4,3,2,532,978000
3,1,1,585,720000
4,1,2,509,765000
4,2,3,628,900000
2,1,0,120,1275000
2,1,0,159,1455000
3,2,0,211,2850000
3,2,0,128,1850000
2,1,0,130,1436000
1,1,0,147,1110000
2,1,1,167,1550000
4,2,1,153,2300000
3,2,2,718,1550000
3,2,1,132,1800000
2,1,1,199,2120000
3,1,1,253,1800000
3,2,1,90,1800000
2,1,0,240,1810000
3,2,1,177,2615000
5,2,1,237,2100000
3,1,0,129,1300000
3,2,2,0,1370000
2,1,0,288,1000000
3,2,1,228,2575000
2,1,0,149,1322500
2,1,0,141,1562500
3,2,1,211,2000000
3,1,0,209,1900000
3,2,0,147,3010000
4,3,1,327,2800000
2,1,1,0,647000
2,1,1,120,2100000
3,1,1,238,2000000
1,1,0,0,442500
4,2,1,330,4735000
2,1,0,136,1340000
3,1,1,202,1801000
3,3,1,0,1532000
3,2,2,325,3755000
3,2,1,183,2140000
2,1,1,162,1750000
2,1,0,79,980000
3,2,0,152,2030000
3,2,2,147,1740000
3,3,1,0,2800000
1,1,0,81,985000
3,2,4,853,2000000
3,2,2,208,1110000
3,2,2,411,1492000
4,2,1,599,1717500
5,4,4,809,2840000
2,1,1,88,525500
2,2,3,155,805000
2,1,1,0,465000
3,3,2,686,2000000
3,1,2,592,1540000
2,1,1,183,820000
4,2,2,606,1830000
4,2,2,575,2100000
3,1,1,180,865000
2,1,1,0,390000
0,1,0,0,650000
2,1,1,0,512000
3,1,2,979,1165000
4,2,2,556,1900000
